Wall time,Step,Value
1756212774.8349752,736300,1762.7076416015625
1756212775.7107642,736625,1711.15283203125
1756212776.6397302,736975,1664.6468505859375
1756212780.9771712,738675,1626.61669921875
1756212786.1570182,740625,1603.6820068359375
1756212789.50774,741750,1623.1591796875
1756212792.71192,742975,1697.307861328125
1756212795.0677514,743925,1753.302734375
1756212799.4244633,745725,1741.9600830078125
1756212803.5189192,747400,1748.8258056640625
1756212807.2543085,748900,1763.814208984375
1756212819.9906578,750000,1803.0648193359375
1756212823.103227,750775,1915.8299560546875
1756212826.845239,752150,2001.13525390625
1756212831.2953103,753950,1865.2149658203125
1756212834.763216,755425,2013.9014892578125
1756212838.5770135,756900,2030.1248779296875
1756212844.9429023,758975,2030.9154052734375
1756212849.0871356,760575,2083.60205078125
1756212852.3967516,761850,2070.23388671875
1756212853.1802588,762150,2117.104736328125
1756212857.0270426,763675,2130.201416015625
1756212862.2745123,765800,2074.68408203125
1756212873.060102,770400,2159.626708984375
1756212875.3088317,771275,2164.650634765625
1756212879.7351263,772975,2143.813720703125
1756212884.1407,774700,2078.01220703125
1756212888.3566632,776375,2008.7318115234375
1756212892.7871943,778125,2041.2861328125
1756212894.6366858,778850,1980.015869140625
1756212895.9355378,779350,1984.9383544921875
1756212903.3530123,782300,1958.38232421875
1756212905.340135,783100,1915.0906982421875
1756212906.8215551,783700,1856.3529052734375
1756212908.4859536,784350,1841.4332275390625
1756212912.2177775,785875,1871.9219970703125
1756212913.9348292,786600,1856.10009765625
1756212916.230251,787550,1782.0062255859375
1756212919.7057405,788900,1758.6878662109375
1756212921.7651942,789725,1702.940185546875
1756212925.4476128,791275,1701.98828125
1756212927.0643952,792000,1744.167236328125
1756212930.5874484,793550,1759.71240234375
1756212934.3382025,795150,1816.750732421875
1756212942.4190617,798300,1807.234130859375
1756212946.528156,799975,1845.991943359375
1756212949.4920805,801225,1876.0589599609375
1756212951.9396844,802225,1857.458740234375
1756212955.1251886,803450,1951.844482421875
1756212958.6891584,804800,1970.4945068359375
1756212966.1075835,807350,1988.970703125
1756212967.246917,807800,2058.446044921875
1756212970.4800653,809025,2117.913330078125
1756212979.182188,812375,2226.1513671875
1756212980.9913723,813075,2272.05517578125
1756212983.059144,813875,2236.466796875
1756212987.7341018,815725,2209.2900390625
1756212990.0746071,816625,2219.4130859375
1756212991.862718,817400,2236.55029296875
1756212993.6394842,818150,2319.733642578125
1756212998.5762706,820125,2323.104736328125
1756213001.3657038,821175,2334.0537109375
1756213002.8710473,821800,2287.80078125
1756213006.0109942,823050,2297.055419921875
1756213009.8496397,824575,2259.914794921875
1756213011.1036904,825100,2261.1865234375
1756213014.2424822,826450,2243.837890625
1756213020.373819,828975,2235.46826171875
1756213022.5592809,829875,2209.92822265625
1756213024.19528,830600,2137.67724609375
1756213028.3427324,832450,2137.77392578125
1756213030.5415604,833175,2128.711669921875
1756213034.7264302,834725,2055.61328125
1756213037.334217,835800,2020.5960693359375
1756213040.634437,837200,1951.4578857421875
1756213041.5413406,837575,1915.4365234375
1756213043.514335,838425,1884.2777099609375
1756213047.796293,840275,1968.5771484375
1756213051.795019,841975,1974.5008544921875
1756213052.4380586,842250,1985.199951171875
1756213062.046366,846200,1942.2296142578125
1756213068.4473987,848450,1997.00146484375
1756213075.4248867,851675,2063.25537109375
1756213076.5240672,852200,2090.1416015625
1756213077.843616,852825,2177.296142578125
1756213080.0810888,853900,2213.009521484375
1756213083.8936875,855725,2286.75439453125
1756213085.4341261,856450,2353.455322265625
1756213086.9115212,857150,2302.48193359375
1756213090.479647,858875,2308.524169921875
1756213092.14397,859675,2364.26025390625
1756213093.1674757,860125,2400.77978515625
1756213094.9530065,860925,2433.978271484375
1756213099.196588,862750,2384.3037109375
1756213104.611438,865125,2385.064697265625
1756213109.1871388,867200,2406.824951171875
1756213112.576287,868725,2373.9921875
1756213116.9420893,870825,2375.354248046875
1756213119.106216,871850,2330.98828125
1756213121.3626666,873000,2371.026611328125
1756213129.94646,876250,2384.193359375
1756213132.7029417,877575,2498.015869140625
1756213140.6038425,881075,2603.994384765625
1756213142.0037313,881700,2642.02294921875
1756213156.0058694,887500,2649.082763671875
1756213165.2614408,891600,2632.03271484375
1756213168.924908,893225,2628.417724609375
1756213176.3772624,896450,2746.16796875
1756213178.057427,897175,2808.300048828125
1756213186.9534347,901000,2765.861083984375
